customer_id,first_name,last_name,company,address,city,state,country,postal_code,email,support_rep_id
1,Lua­s,Gonaalves,Embraer - Empresa Brasileira de Aerona¡utica S.A.,"Av. Brigadeiro Faria Lima, 2170",Sao Josa dos Campos,SP,Brazil,12227-000,luisg@embraer.com.br,3
2,Leonie,Kahler,,Theodor-Heuss-Straaye 34,Stuttgart,,Germany,70174,leonekohler@surfeu.de,5
3,Franaois,Tremblay,,1498 rue Balanger,Montraal,QC,Canada,H2G 1A7,ftremblay@gmail.com,3
4,Bjarn,Hansen,,Ullevalsveien 14,Oslo,,Norway,171,bjorn.hansen@yahoo.no,4
5,Frantia¡ek,Wichterlovai,JetBrains s.r.o.,Klanova 9/506,Prague,,Czech Republic,14700,frantisekw@jetbrains.com,4
6,Helena,Hola,,Rilska¡ 3174/6,Prague,,Czech Republic,14300,hholy@gmail.com,5
7,Astrid,Gruber,,"Rotenturmstraae 4, 1010 Innere Stadt",Vienne,,Austria,1010,astrid.gruber@apple.at,5
8,Daan,Peeters,,Gratrystraat 63,Brussels,,Belgium,1000,daan_peeters@apple.be,4
9,Kara,Nielsen,,Sa¸nder Boulevard 51,Copenhagen,,Denmark,1720,kara.nielsen@jubii.dk,4
10,Eduardo,Martins,Woodstock Discos,"Rua Dr. Falcao Filho, 155",Sao Paulo,SP,Brazil,01007-010,eduardo@woodstock.com.br,4
11,Alexandre,Rocha,Banco do Brasil S.A.,"Av. Paulista, 2022",Sao Paulo,SP,Brazil,01310-200,alero@uol.com.br,5
12,Roberto,Almeida,Riotur,"Praaa Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,roberto.almeida@riotur.gov.br,3
13,Fernanda,Ramos,,Qe 7 Bloco G,Brasa­lia,DF,Brazil,71020-677,fernadaramos4@uol.com.br,4
14,Mark,Philips,Telus,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,mphilips12@shaw.ca,5
15,Jennifer,Peterson,Rogers Canada,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,jenniferp@rogers.ca,3
16,Frank,Harris,Google Inc.,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com,4
17,Jack,Smith,Microsoft Corporation,1 Microsoft Way,Redmond,WA,USA,98052-8300,jacksmith@microsoft.com,5
18,Michelle,Brooks,,627 Broadway,New York,NY,USA,10012-2612,michelleb@aol.com,3
19,Tim,Goyer,Apple Inc.,1 Infinite Loop,Cupertino,CA,USA,95014,tgoyer@apple.com,3
20,Dan,Miller,,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,dmiller@comcast.com,4
21,Kathy,Chase,,801 W 4th Street,Reno,NV,USA,89503,kachase@hotmail.com,5
22,Heather,Leacock,,120 S Orange Ave,Orlando,FL,USA,32801,hleacock@gmail.com,4
23,John,Gordon,,69 Salem Street,Boston,MA,USA,2113,johngordon22@yahoo.com,4
24,Frank,Ralston,,162 E Superior Street,Chicago,IL,USA,60611,fralston@gmail.com,3
25,Victor,Stevens,,319 N. Frances Street,Madison,WI,USA,53703,vstevens@yahoo.com,5
26,Richard,Cunningham,,2211 W Berry Street,Fort Worth,TX,USA,76110,ricunningham@hotmail.com,4
27,Patrick,Gray,,1033 N Park Ave,Tucson,AZ,USA,85719,patrick.gray@aol.com,4
28,Julia,Barnett,,302 S 700 E,Salt Lake City,UT,USA,84102,jubarnett@gmail.com,5
29,Robert,Brown,,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,robbrown@shaw.ca,3
30,Edward,Francis,,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,edfrancis@yachoo.ca,3
31,Martha,Silk,,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,marthasilk@gmail.com,5
32,Aaron,Mitchell,,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,aaronmitchell@yahoo.ca,4
33,Ellie,Sullivan,,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,ellie.sullivan@shaw.ca,3
34,Joao,Fernandes,,Rua da Assunao 53,Lisbon,,Portugal,,jfernandes@yahoo.pt,4
35,Madalena,Sampaio,,"Rua dos Campeaes Europeus de Viena, 4350",Porto,,Portugal,,masampaio@sapo.pt,4
36,Hannah,Schneider,,Tauentzienstraaye 8,Berlin,,Germany,10789,hannah.schneider@yahoo.de,5
37,Fynn,Zimmermann,,Berger Straaye 10,Frankfurt,,Germany,60316,fzimmermann@yahoo.de,3
38,Niklas,Schrader,,Barbarossastraye 19,Berlin,,Germany,10779,nschroder@surfeu.de,3
39,Camille,Bernard,,"4, Rue Milton",Paris,,France,75009,camille.bernard@yahoo.fr,4
40,Dominique,Lefebvre,,"8, Rue Hanovre",Paris,,France,75002,dominiquelefebvre@gmail.com,4
41,Marc,Dubois,,"11, Place Bellecour",Lyon,,France,69002,marc.dubois@hotmail.com,5
42,Wyatt,Girard,,"9, Place Louis Barthou",Bordeaux,,France,33000,wyatt.girard@yahoo.fr,3
43,Isabelle,Mercier,,"68, Rue Jouvence",Dijon,,France,21000,isabelle_mercier@apple.fr,3
44,Terhi,Hatimnen,,Porthaninkatu 9,Helsinki,,Finland,530,terhi.hamalainen@apple.fi,3
45,Ladislav,Kova¡cs,,Erzsabet krt. 58.,Budapest,,Hungary,H-1073,ladislav_kovacs@apple.hu,3
46,Hugh,O'Reilly,,3 Chatham Street,Dublin,Dublin,Ireland,,hughoreilly@apple.ie,3
47,Lucas,Mancini,,"Via Degli Scipioni, 43",Rome,RM,Italy,192,lucas.mancini@yahoo.it,5
48,Johannes,Van der Berg,,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,johavanderberg@yahoo.nl,5
49,Stanisa‚aw,Wajcik,,Ordynacka 10,Warsaw,,Poland,00-358,stanisÅ‚aw.wÃ³jcik@wp.pl,4
50,Enrique,Muaoz,,C/ San Bernardo 85,Madrid,,Spain,28015,enrique_munoz@yahoo.es,5
51,Joakim,Johansson,,Celsiusg. 9,Stockholm,,Sweden,11230,joakim.johansson@yahoo.se,5
52,Emma,Jones,,202 Hoxton Street,London,,United Kingdom,N1 5LH,emma_jones@hotmail.com,3
53,Phil,Hughes,,113 Lupus St,London,,United Kingdom,SW1V 3EN,phil.hughes@gmail.com,3
54,Steve,Murray,,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,steve.murray@yahoo.uk,5
55,Mark,Taylor,,421 Bourke Street,Sidney,NSW,Australia,2010,mark.taylor@yahoo.au,4
56,Diego,Gutiarrez,,307 Macacha Gaemes,Buenos Aires,,Argentina,1106,diego.gutierrez@yahoo.ar,4
57,Luis,Rojas,,"Calle Lira, 198",Santiago,,Chile,,luisrojas@yahoo.cl,5
58,Manoj,Pareek,,"12,Community Centre",Delhi,,India,110017,manoj.pareek@rediff.com,3
59,Rishabh,Mishra,,"3,Raj Bhavan Road",Bangalore,,India,560001,rishabh_mishra@yahoo.in,3
